bow_style,number,match_score,match_allowance,set_score,set_allowance
recurve,97,37,1403,7,280
recurve,98,35,1405,7,281
recurve,99,33,1407,7,281
recurve,100,31,1409,6,281
recurve,101,30,1410,6,282
recurve,102,28,1412,6,282
recurve,103,26,1414,5,282
recurve,104,25,1415,5,283
recurve,105,23,1417,5,283
recurve,106,22,1418,4,283
recurve,107,21,1419,4,283
recurve,108,20,1420,4,284
recurve,109,18,1422,4,284
recurve,110,17,1423,3,284
recurve,111,16,1424,3,284
recurve,112,15,1425,3,285
recurve,113,14,1426,3,285
recurve,114,13,1427,3,285
recurve,115,13,1427,3,285
recurve,116,12,1428,2,285
recurve,117,11,1429,2,285
recurve,118,10,1430,2,286
recurve,119,10,1430,2,286
recurve,120,9,1431,2,286
recurve,121,8,1432,2,286
recurve,122,8,1432,2,286
recurve,123,7,1433,1,286
recurve,124,7,1433,1,286
recurve,125,6,1434,1,286
recurve,126,6,1434,1,286
recurve,127,6,1434,1,286
recurve,128,5,1435,1,287
recurve,129,5,1435,1,287
recurve,130,5,1435,1,287
recurve,131,4,1436,1,287
recurve,132,4,1436,1,287
recurve,133,4,1436,1,287
recurve,134,3,1437,1,287
recurve,135,3,1437,1,287
recurve,136,3,1437,1,287
recurve,137,3,1437,1,287
recurve,138,3,1437,1,287
recurve,139,2,1438,1,287
recurve,140,2,1438,1,287
recurve,141,2,1438,1,287
recurve,142,2,1438,1,287
recurve,143,2,1438,1,287
recurve,144,2,1438,1,287
recurve,145,1,1439,1,287
recurve,146,1,1439,1,287
recurve,147,1,1439,1,287
recurve,148,1,1439,1,287
recurve,149,1,1439,1,287
recurve,150,1,1439,1,287
